Pcorrectforproblem,Pmedian,p_prior_correct,p_prior_completed,prior_attempts,pProblemSemanticError,Prob_synt,pSubjectSyntaxErrors,pSubjectSemanticErrors,Correct,StartOrder,ProblemID,Code,prediction,Fold
0.9661016949152542,1.0,0.5,0.5,0,0.01694915254237288,0.01694915254237288,0.3333333333333333,0.3333333333333333,True,1939,doubleX,"def doubleX(x):
    return x * 2",True,0
0.7727272727272727,1.0,1.0,1.0,1,0.09090909090909091,0.13636363636363635,0.0,0.0,False,2884,backwardsCombine,"def backwardsCombine(s1, s2):
	return [s2] + [s1]",True,0
0.4594594594594595,1.0,0.3333333333333333,0.3333333333333333,3,0.40540540540540543,0.13513513513513514,0.3333333333333333,0.3333333333333333,True,1970,findRoot,"import math
def findRoot(a, b, c):
    root1 = ((-1 * b) + math.sqrt(b ** 2 - (4 * a * c))) / (2 * a)
    root2 = ((-1 * b) - math.sqrt(b ** 2 - (4 * a * c))) / (2 * a)
    if root1 >= root2:
        return root1
    else:
        return root2\",True,0
0.38,1.0,0.5,0.5,4,0.54,0.08,0.25,0.25,False,1941,convertToDegrees,"import math
def convertToDegrees(x):
    return x.degrees",False,0
0.5303030303030303,1.0,0.4,0.6,5,0.2878787878787879,0.18181818181818182,0.2,0.4,True,1938,helloWorld,"def helloWorld():
    phrase = 'Hello World!'
    return phrase",True,0
0.8780487804878049,1.0,0.5,0.6666666666666666,6,0.0975609756097561,0.024390243902439025,0.16666666666666666,0.3333333333333333,True,1975,intToFloat,"def intToFloat(x):
    return x / 1",True,0
0.125,3.0,0.5714285714285714,0.7142857142857143,7,0.5,0.375,0.14285714285714285,0.2857142857142857,False,1945,isPunctuation,"import string
def isPunctuation(character):
    if character == string.punctuation:
        return True
    else:
        return False",False,0
0.7619047619047619,1.0,0.5,0.75,8,0.16666666666666666,0.07142857142857142,0.125,0.375,False,1978,leftoverCandy,"def leftoverCandy(candy_bars, friends):
	return candy_bars // friends",True,0
0.8867924528301887,1.0,0.4444444444444444,0.7777777777777778,9,0.07547169811320754,0.03773584905660377,0.1111111111111111,0.4444444444444444,True,1940,raiseToPower,"def raiseToPower(x, y):
    return x ** y",True,0
0.38,1.0,0.75,0.75,4,0.54,0.08,0.3333333333333333,0.3333333333333333,False,2410,convertToDegrees,,False,0
0.8867924528301887,1.0,1.0,1.0,1,0.07547169811320754,0.03773584905660377,0.5,0.5,True,2408,raiseToPower,"def raiseToPower(x, y):
    return x ** y",True,0
0.5303030303030303,1.0,0.5,0.5,0,0.2878787878787879,0.18181818181818182,0.3333333333333333,0.3333333333333333,True,2406,helloWorld,"def helloWorld():
    return 'Hello World!'",False,0
0.9661016949152542,1.0,1.0,1.0,2,0.01694915254237288,0.01694915254237288,0.25,0.25,True,2407,doubleX,"def doubleX(x):
    return x * 2",True,0
0.5303030303030303,1.0,0.5,0.5,0,0.2878787878787879,0.18181818181818182,0.3333333333333333,0.3333333333333333,False,1354,helloWorld,"def helloWorld():
    print('Hello', ' ','World')
",False,0
0.5303030303030303,1.0,0.5,0.5,0,0.2878787878787879,0.18181818181818182,0.3333333333333333,0.3333333333333333,True,77,helloWorld,"def helloWorld():
    return 'Hello World!'",False,0
0.9661016949152542,1.0,1.0,1.0,1,0.01694915254237288,0.01694915254237288,0.0,0.0,True,78,doubleX,"def doubleX(x):
    return x*2",True,0
0.7619047619047619,1.0,0.375,0.875,8,0.16666666666666666,0.07142857142857142,0.3333333333333333,0.3333333333333333,True,1591,leftoverCandy,"def leftoverCandy(candyBars, friends):
	return candyBars % friends",True,0
0.8867924528301887,1.0,0.5384615384615384,0.9230769230769231,13,0.07547169811320754,0.03773584905660377,0.0,0.0,True,1587,raiseToPower,"def raiseToPower(x, y):
    return x**y",True,0
0.9661016949152542,1.0,0.5,0.9166666666666666,12,0.01694915254237288,0.01694915254237288,0.0,0.0,True,1584,doubleX,"def doubleX(x):
    return 2*x",True,0
0.38,1.0,0.5,0.9,10,0.54,0.08,0.0,0.0,True,1588,convertToDegrees,"import math

def convertToDegrees(x):
    return math.degrees(x)",False,0
0.8780487804878049,1.0,0.4444444444444444,0.8888888888888888,9,0.0975609756097561,0.024390243902439025,0.0,0.0,True,1590,intToFloat,"def intToFloat(x):
	return float(x)",True,0
0.5303030303030303,1.0,0.5454545454545454,0.9090909090909091,11,0.2878787878787879,0.18181818181818182,0.16666666666666666,0.0,False,1576,helloWorld,print('Hello World!'),False,0
0.7241379310344828,1.0,0.4,0.8,5,0.06896551724137931,0.20689655172413793,0.14285714285714285,0.14285714285714285,False,1610,overNineThousand,"def overNineThousand(powerLevel):
	if powerLevel > 9000:
	    return True\",True,0
0.18181818181818182,3.0,0.5,1.0,4,0.4090909090909091,0.4090909090909091,0.125,0.25,False,1625,isEvenPositiveInt,"def isEvenPositiveInt(x):
    if x % 2 == 0 and x > 0 and Type(x) == Type(int):
	    return True",False,0
0.21621621621621623,3.0,0.3333333333333333,1.0,3,0.7027027027027027,0.08108108108108109,0.1111111111111111,0.3333333333333333,True,1592,howManyEggCartons,"import math

def howManyEggCartons(eggs):
	return math.ceil(eggs / 12)",False,0
0.41379310344827586,2.0,0.5,1.0,2,0.4482758620689655,0.13793103448275862,0.1,0.3,False,1612,hasTwoDigits,"def hasTwoDigits(x):
    if x >= 10:
	    return True",True,0
